Id,SalePrice
1461,123191.30390316462
1462,163086.45308866567
1463,181133.10191066065
1464,179416.78732363478
1465,195104.27072503313
1466,171170.81421366084
1467,162976.07158381413
1468,161943.97415543234
1469,195378.6572147166
1470,127532.15275257653
1471,206733.92469813686
1472,96286.67968030465
1473,96365.8172038786
1474,156176.8243367606
1475,143729.7774219295
1476,435014.72447466274
1477,280297.3384130905
1478,317327.07417370303
1479,280062.8314069383
1480,466437.4906903129
1481,332484.2565916932
1482,212046.90490622228
1483,160720.5652937183
1484,174327.7959434813
1485,178930.34043657035
1486,191193.9896144884
1487,358861.80680116295
1488,236533.25716122444
1489,203023.66759160793
1490,229607.03428416385
1491,190098.5258435897
1492,88710.75215445571
1493,196945.81924896775
1494,300295.88717293355
1495,293722.4027065016
1496,237377.0684811266
1497,179271.49347590416
1498,166477.2718745957
1499,165738.0629232194
1500,141782.87111891806
1501,166196.447766427
1502,163922.78556746326
1503,301784.29469667585
1504,231697.84383310913
1505,218684.17386237177
1506,188109.41316900033
1507,229967.3593741183
1508,190047.15683098786
1509,157982.7038575718
1510,144790.4021040122
1511,142452.208021369
1512,175754.38844697012
1513,155285.1957368392
1514,170789.0610951278
1515,194111.75584353766
1516,168211.05165048127
1517,160474.296133786
1518,142959.8402500309
1519,226193.37024158798
1520,135977.7367120183
1521,135743.00922584496
1522,173066.44403570745
1523,112844.56638118457
1524,121530.54230145237
1525,125298.86803105261
1526,123014.04626513939
1527,108979.07838253095
1528,134853.3943698275
1529,147477.03863557932
1530,179056.20215529302
1531,105634.97547512158
1532,103073.89386723012
1533,145910.11387119754
1534,122401.46556112714
1535,150984.60677854193
1536,109839.79580251256
1537,72520.7819130975
1538,184860.78932461274
1539,216778.61273790913
1540,91913.68775879266
1541,137108.6810914422
1542,134294.82095290814
1543,220884.8149012078
1544,78597.94528090335
1545,110025.24303656338
1546,127515.7374659496
1547,128325.37790741191
1548,131821.039039838
1549,112087.59032575214
1550,141010.0663547061
1551,121293.87284772578
1552,133264.52602682877
1553,160746.48315848006
1554,113197.6910135453
1555,170628.71947187508
1556,79548.84157422795
1557,113697.73099413615
1558,94413.40839016819
1559,75515.10889729473
1560,141339.51371725506
1561,136379.99920339073
1562,129099.68067793486
1563,123885.43927651635
1564,156026.001203327
1565,152560.45141689142
1566,227806.2615917583
1567,73089.19663612783
1568,211155.07575609096
1569,137083.15447415045
1570,135231.53794076148
1571,127656.36618890091
1572,149070.55890398758
1573,277920.19570067513
1574,115957.39571472182
1575,230271.7721851244
1576,214840.37406398068
1577,192191.29649522758
1578,153199.31187233937
1579,141908.90843270766
1580,192168.61179776216
